Order Date,City,Category,Sales
2014-02-02,Saint Petersburg,Technology,180.96
2014-02-02,San Diego,Office Supplies,12.35
2014-02-03,Seattle,Office Supplies,97.11200000000001
2014-02-04,Escondido,Office Supplies,17.248
2014-02-04,San Diego,Office Supplies,117.136
2014-02-06,Chesapeake,Office Supplies,15.0
2014-02-06,Chesapeake,Technology,306.56
2014-02-06,Romeoville,Office Supplies,8.952
2014-02-07,Linden,Technology,115.36
2014-02-07,New York City,Office Supplies,64.96
2014-02-08,North Las Vegas,Furniture,14.56
2014-02-11,Chesapeake,Furniture,1256.22
2014-02-11,Chesapeake,Office Supplies,17.46
2014-02-11,Chesapeake,Technology,234.45
2014-02-11,Columbia,Furniture,393.83
2014-02-11,Columbia,Office Supplies,141.44
2014-02-12,Concord,Furniture,129.568
2014-02-14,Houston,Office Supplies,16.176
2014-02-14,Seattle,Office Supplies,320.58
2014-02-14,Seattle,Technology,239.97
2014-02-15,Seattle,Office Supplies,21.36
2014-02-16,Dallas,Office Supplies,9.04
2014-02-17,Chicago,Office Supplies,54.208
2014-02-18,Arlington,Office Supplies,12.624
2014-02-18,Lubbock,Furniture,25.16
2014-02-20,Los Angeles,Office Supplies,12.96
2014-02-20,Richmond,Furniture,20.32
2014-02-20,Richmond,Technology,62.31
2014-02-21,Woodstock,Office Supplies,8.85
2014-02-22,Moreno Valley,Office Supplies,19.44
2014-02-23,El Paso,Office Supplies,11.364
2014-02-24,Medford,Office Supplies,55.672
2014-02-27,Columbus,Office Supplies,19.456
2014-03-01,El Paso,Furniture,425.802
2014-03-01,El Paso,Office Supplies,148.392
2014-03-01,Elmhurst,Furniture,634.116
2014-03-01,Elmhurst,Office Supplies,17.472
2014-03-01,Houston,Furniture,376.509
2014-03-01,Houston,Office Supplies,137.352
2014-03-01,New York City,Technology,5.94
2014-03-01,Seattle,Furniture,457.568
2014-03-02,New York City,Office Supplies,47.76
2014-03-02,Philadelphia,Office Supplies,3.424
2014-03-02,Philadelphia,Technology,151.2
2014-03-03,Columbus,Furniture,302.45
2014-03-03,Columbus,Office Supplies,59.791999999999994
2014-03-03,Houston,Office Supplies,176.772
2014-03-03,New York City,Office Supplies,151.08
2014-03-03,New York City,Technology,9.99
2014-03-03,San Diego,Furniture,626.352
2014-03-03,Wilmington,Office Supplies,19.456
2014-03-04,Columbia,Office Supplies,354.9
2014-03-04,Margate,Office Supplies,15.552
2014-03-05,Yonkers,Office Supplies,225.59199999999998
2014-03-05,Yonkers,Technology,479.97
2014-03-07,Des Moines,Office Supplies,107.648
2014-03-07,Seattle,Furniture,966.9839999999999
2014-03-07,Seattle,Office Supplies,486.43
2014-03-10,Denver,Office Supplies,719.576
2014-03-10,Royal Oak,Office Supplies,22.38
2014-03-11,Columbus,Furniture,8.32
2014-03-11,Columbus,Office Supplies,10.464
2014-03-11,New York City,Office Supplies,108.92
2014-03-11,Richmond,Office Supplies,161.7
2014-03-11,Richmond,Technology,620.9300000000001
2014-03-11,Roseville,Office Supplies,7.98
2014-03-14,Chesapeake,Furniture,1139.92
2014-03-14,Chicago,Office Supplies,8.448
2014-03-14,Chicago,Technology,574.91
2014-03-14,Huntington Beach,Office Supplies,13.940000000000001
2014-03-14,Jacksonville,Office Supplies,91.056
2014-03-14,Logan,Office Supplies,197.476
2014-03-14,Logan,Technology,82.8
2014-03-15,Tampa,Furniture,45.696
2014-03-15,Tampa,Office Supplies,325.086
2014-03-16,Raleigh,Technology,471.92
2014-03-17,Dallas,Office Supplies,25.184
2014-03-17,Jackson,Office Supplies,103.5
2014-03-17,Lakeville,Office Supplies,249.92000000000002
2014-03-17,New York City,Furniture,3265.23
2014-03-17,New York City,Office Supplies,189.89999999999998
2014-03-17,Philadelphia,Office Supplies,126.624
2014-03-18,Burbank,Furniture,111.0
2014-03-18,Burbank,Office Supplies,1856.19
2014-03-18,Burbank,Technology,1279.968
2014-03-18,Jacksonville,Furniture,153.12
2014-03-18,Jacksonville,Office Supplies,48.328
2014-03-18,Jacksonville,Technology,23459.78
2014-03-18,San Francisco,Furniture,1198.33
2014-03-19,Lakeland,Furniture,25.008
2014-03-19,Lakeland,Office Supplies,71.538
2014-03-19,Lakeland,Technology,494.216
2014-03-21,Asheville,Office Supplies,16.272
2014-03-21,Hamilton,Office Supplies,13.456
2014-03-21,Knoxville,Furniture,251.328
2014-03-21,Knoxville,Office Supplies,59.2
2014-03-21,Springfield,Office Supplies,269.63
2014-03-21,Springfield,Technology,3499.93
2014-03-22,Greensboro,Office Supplies,59.109
2014-03-22,Portage,Office Supplies,16.28
2014-03-22,Tucson,Furniture,314.352
2014-03-22,Tucson,Office Supplies,74.352
2014-03-23,Delray Beach,Office Supplies,9.912
2014-03-23,Los Angeles,Office Supplies,330.4
2014-03-23,Los Angeles,Technology,604.752
2014-03-24,Fresno,Furniture,40.48
2014-03-24,New York City,Office Supplies,24.9
2014-03-25,New York City,Furniture,366.786
2014-03-25,San Francisco,Office Supplies,46.879999999999995
2014-03-25,San Francisco,Technology,45.48
2014-03-26,Los Angeles,Technology,66.3
2014-03-26,Pomona,Office Supplies,18.75
2014-03-26,San Francisco,Office Supplies,31.296
2014-03-26,San Francisco,Technology,28.784
2014-03-28,Albuquerque,Technology,302.376
2014-03-28,Des Moines,Furniture,1184.72
2014-03-28,Des Moines,Office Supplies,6.12
2014-03-28,Springfield,Furniture,330.588
2014-03-29,Plano,Furniture,890.841
2014-03-30,Apple Valley,Office Supplies,129.3
2014-03-30,Brownsville,Furniture,127.302
2014-03-30,Brownsville,Office Supplies,335.72
2014-03-30,Brownsville,Technology,251.944
2014-03-30,Long Beach,Office Supplies,49.65
2014-03-30,New York City,Office Supplies,10.5
2014-03-30,San Francisco,Furniture,205.666
2014-03-30,Seattle,Office Supplies,60.239999999999995
2014-03-31,Chicago,Office Supplies,8.134
2014-03-31,Chicago,Technology,79.984
2014-03-31,Miami,Office Supplies,1.869
2014-03-31,Philadelphia,Office Supplies,0.852
2014-03-31,San Francisco,Office Supplies,726.548
2014-03-31,Tampa,Furniture,1125.488
2014-03-31,Tampa,Office Supplies,16.677
2014-04-01,Revere,Office Supplies,73.19999999999999
2014-04-01,Vallejo,Office Supplies,46.688
2014-04-02,Athens,Office Supplies,170.74
2014-04-02,Athens,Technology,1049.93
2014-04-02,Houston,Office Supplies,60.208
2014-04-02,Virginia Beach,Furniture,177.68
2014-04-03,Los Angeles,Office Supplies,11.16
2014-04-03,Los Angeles,Technology,222.29
2014-04-04,Detroit,Furniture,5.47
2014-04-04,Detroit,Office Supplies,79.36
2014-04-04,Lafayette,Office Supplies,264.95
2014-04-04,Lafayette,Technology,99.98
2014-04-04,Los Angeles,Office Supplies,7.184
2014-04-04,San Francisco,Office Supplies,18.9
2014-04-05,Alexandria,Office Supplies,4222.93
2014-04-05,Alexandria,Technology,28.99
2014-04-05,Dearborn Heights,Office Supplies,770.61
2014-04-05,Decatur,Office Supplies,101.728
2014-04-05,New York City,Office Supplies,55.48
2014-04-05,Richmond,Office Supplies,115.36
2014-04-06,Lancaster,Office Supplies,44.91
2014-04-06,Los Angeles,Furniture,125.07
2014-04-06,Los Angeles,Office Supplies,211.438
2014-04-06,Los Angeles,Technology,299.97
2014-04-06,Philadelphia,Furniture,154.764
2014-04-06,Philadelphia,Office Supplies,10.304
2014-04-06,Philadelphia,Technology,116.784
2014-04-06,Seattle,Furniture,653.55
2014-04-06,Seattle,Technology,33.9
2014-04-07,Columbia,Office Supplies,122.97
2014-04-07,Columbia,Technology,629.95
2014-04-07,Marietta,Office Supplies,58.32
2014-04-07,Marietta,Technology,200.97
2014-04-07,Mobile,Furniture,8.96
2014-04-08,Chandler,Office Supplies,49.792
2014-04-08,Concord,Furniture,99.592
2014-04-08,Concord,Technology,399.96
2014-04-08,Decatur,Furniture,1215.92
2014-04-08,Glendale,Office Supplies,21.375999999999998
2014-04-08,Toledo,Furniture,172.11
2014-04-11,Austin,Technology,758.352
2014-04-11,Great Falls,Office Supplies,87.08
2014-04-11,Great Falls,Technology,323.024
2014-04-11,Lewiston,Office Supplies,9.584
2014-04-11,Miami,Office Supplies,17.28
2014-04-11,Miami,Technology,719.9200000000001
2014-04-12,Bloomington,Office Supplies,32.4
2014-04-12,Lodi,Office Supplies,39.68
2014-04-12,Redondo Beach,Furniture,308.499
2014-04-12,Redondo Beach,Office Supplies,18.088
2014-04-12,Redondo Beach,Technology,1513.456
2014-04-13,Baltimore,Office Supplies,7.83
2014-04-13,Philadelphia,Office Supplies,558.818
2014-04-13,Philadelphia,Technology,71.928
2014-04-15,Los Angeles,Furniture,187.76
2014-04-15,Los Angeles,Office Supplies,106.96
2014-04-16,Wilmington,Office Supplies,39.072
2014-04-18,Houston,Furniture,317.058
2014-04-18,Houston,Office Supplies,152.04
2014-04-18,Houston,Technology,227.976
2014-04-18,Los Angeles,Office Supplies,35.489999999999995
2014-04-18,Los Angeles,Technology,287.968
2014-04-19,Arlington,Office Supplies,129.32999999999998
2014-04-19,San Jose,Furniture,76.14
2014-04-20,Houston,Furniture,1145.69
2014-04-20,Houston,Office Supplies,44.84
2014-04-20,Los Angeles,Furniture,59.92
2014-04-21,Henderson,Office Supplies,828.84
2014-04-21,Los Angeles,Office Supplies,16.52
2014-04-22,Troy,Office Supplies,257.752
2014-04-23,Columbus,Furniture,585.08
2014-04-23,Columbus,Office Supplies,7.488
2014-04-23,Philadelphia,Office Supplies,2.502
2014-04-23,San Francisco,Office Supplies,48.91
2014-04-25,Houston,Office Supplies,16.608
2014-04-25,San Gabriel,Furniture,1790.29
2014-04-25,San Gabriel,Office Supplies,270.72
2014-04-25,Wilmington,Technology,302.376
2014-04-26,Los Angeles,Furniture,230.28
2014-04-26,Los Angeles,Office Supplies,52.288
2014-04-28,Baltimore,Office Supplies,526.96
2014-04-28,Jamestown,Technology,159.98
2014-04-28,Newark,Office Supplies,211.57600000000002
2014-04-28,San Francisco,Technology,1679.96
2014-04-29,Dover,Technology,19.98
2014-04-29,Lake Charles,Furniture,51.96
2014-04-29,Lake Charles,Office Supplies,17.94
2014-04-29,Memphis,Furniture,561.584
2014-04-29,Memphis,Office Supplies,99.92
2014-04-29,Rochester,Furniture,17.46
2014-04-30,Jackson,Technology,47.79
2014-04-30,Louisville,Office Supplies,1000.95
2014-05-02,Columbus,Office Supplies,26.136
2014-05-02,Lakeland,Technology,479.984
2014-05-03,Appleton,Office Supplies,21.56
2014-05-03,Yonkers,Office Supplies,51.072
2014-05-04,Houston,Office Supplies,43.312000000000005
2014-05-04,Jackson,Office Supplies,46.8
2014-05-04,Middletown,Furniture,27.46
2014-05-04,Seattle,Furniture,12.18
2014-05-04,Seattle,Office Supplies,57.68
2014-05-05,Arlington,Office Supplies,47.32
2014-05-05,Freeport,Office Supplies,45.248
2014-05-05,Richmond,Office Supplies,40.54
2014-05-05,San Antonio,Furniture,127.869
2014-05-06,Los Angeles,Office Supplies,254.456
2014-05-07,Lawrence,Furniture,1066.5700000000002
2014-05-07,Lawrence,Office Supplies,24.78
2014-05-08,Philadelphia,Technology,1799.97
2014-05-09,Henderson,Office Supplies,158.70999999999998
2014-05-09,San Francisco,Technology,235.76999999999998
2014-05-10,Kent,Office Supplies,158.13
2014-05-10,Kent,Technology,43.6
2014-05-10,Philadelphia,Furniture,349.965
2014-05-10,Philadelphia,Office Supplies,22.32
2014-05-10,San Jose,Furniture,256.784
2014-05-10,San Jose,Office Supplies,81.0
2014-05-10,San Jose,Technology,1432.0
2014-05-11,Chicago,Office Supplies,122.05199999999999
2014-05-11,Fort Worth,Furniture,66.112
2014-05-11,Fort Worth,Technology,158.904
2014-05-11,Houston,Technology,46.864
2014-05-11,Huntsville,Furniture,1212.96
2014-05-11,Watertown,Office Supplies,35.91
2014-05-12,Franklin,Furniture,700.056
2014-05-12,Milwaukee,Furniture,34.79
2014-05-13,Hialeah,Office Supplies,405.45599999999996
2014-05-13,Los Angeles,Furniture,279.456
2014-05-13,Los Angeles,Office Supplies,8.0
2014-05-13,Oakland,Technology,149.97
2014-05-13,West Jordan,Office Supplies,55.5
2014-05-14,Saint Petersburg,Furniture,310.88
2014-05-16,Los Angeles,Furniture,232.88
2014-05-16,San Francisco,Technology,56.4
2014-05-17,Eau Claire,Office Supplies,91.68
2014-05-18,Akron,Furniture,149.232
2014-05-18,Akron,Office Supplies,15.936
2014-05-18,Cleveland,Technology,779.796
2014-05-18,Dallas,Office Supplies,3.984
2014-05-19,Midland,Office Supplies,57.42
2014-05-19,Virginia Beach,Office Supplies,34.2
2014-05-20,Dover,Furniture,139.86
2014-05-20,Dover,Office Supplies,71.80000000000001
2014-05-20,San Marcos,Furniture,10.332
2014-05-20,San Marcos,Office Supplies,77.32799999999999
2014-05-20,San Marcos,Technology,20.784
2014-05-21,Houston,Furniture,107.772
2014-05-21,Houston,Office Supplies,79.136
2014-05-21,Lawrence,Office Supplies,711.6800000000001
2014-05-21,San Diego,Office Supplies,31.84
2014-05-21,Virginia Beach,Office Supplies,2715.93
2014-05-21,Virginia Beach,Technology,617.97
2014-05-22,Decatur,Technology,180.93
2014-05-23,Bellevue,Office Supplies,12.96
2014-05-23,New York City,Office Supplies,231.16
2014-05-23,Philadelphia,Office Supplies,24.45
2014-05-23,Philadelphia,Technology,55.188
2014-05-24,Baltimore,Office Supplies,116.28
2014-05-25,Chicago,Furniture,29.32
2014-05-25,Chicago,Office Supplies,75.6
2014-05-25,New York City,Office Supplies,14.62
2014-05-26,Chicago,Furniture,359.772
2014-05-26,Chicago,Office Supplies,116.01599999999999
2014-05-26,Los Angeles,Furniture,515.962
2014-05-26,Los Angeles,Technology,285.568
2014-05-26,Murray,Office Supplies,48.4
2014-05-27,Chicago,Office Supplies,17.46
2014-05-27,San Diego,Furniture,567.12
2014-05-27,San Diego,Office Supplies,359.32
2014-05-27,San Francisco,Technology,1213.494
2014-05-28,Seattle,Office Supplies,136.96
2014-05-28,Seattle,Technology,85.00800000000001
2014-05-30,Buffalo Grove,Furniture,355.455
2014-05-30,Chicago,Technology,719.976
2014-05-30,New York City,Office Supplies,371.86199999999997
2014-05-30,New York City,Technology,464.0
2014-05-30,Richmond,Office Supplies,13.62
2014-05-31,Jackson,Technology,773.7
2014-06-01,Detroit,Office Supplies,204.07999999999998
2014-06-01,Lakeville,Furniture,2001.86
2014-06-01,Lakeville,Office Supplies,1743.77
2014-06-01,Lakewood,Office Supplies,334.68
2014-06-01,Little Rock,Furniture,22.2
2014-06-01,Little Rock,Technology,881.93
2014-06-02,Orem,Furniture,73.32
2014-06-02,Orem,Office Supplies,59.808
2014-06-02,Roswell,Office Supplies,365.5
2014-06-02,Roswell,Technology,239.97
2014-06-03,Decatur,Furniture,61.544
2014-06-03,Decatur,Office Supplies,148.632
2014-06-03,Midland,Office Supplies,15.28
2014-06-03,Seattle,Furniture,515.88
2014-06-04,Columbus,Office Supplies,16.224
2014-06-04,New York City,Furniture,424.48799999999994
2014-06-04,New York City,Office Supplies,15.56
2014-06-06,Chicago,Office Supplies,38.572
2014-06-06,Houston,Office Supplies,100.24
2014-06-06,Jacksonville,Office Supplies,63.381
2014-06-06,Long Beach,Furniture,991.764
2014-06-06,Long Beach,Office Supplies,166.68400000000003
2014-06-06,Rochester,Office Supplies,13.36
2014-06-07,Aurora,Furniture,268.935
2014-06-07,Peoria,Office Supplies,12.462
2014-06-08,Bristol,Furniture,170.352
2014-06-08,Long Beach,Office Supplies,1745.3600000000001
2014-06-08,Seattle,Furniture,585.552
2014-06-09,Harrisonburg,Furniture,1441.3
2014-06-09,Huntsville,Office Supplies,70.368
2014-06-09,Huntsville,Technology,71.976
2014-06-09,Los Angeles,Furniture,1755.0439999999999
2014-06-09,Los Angeles,Office Supplies,140.684
2014-06-09,Los Angeles,Technology,1818.576
2014-06-09,North Las Vegas,Furniture,37.4
2014-06-09,North Las Vegas,Office Supplies,97.2
2014-06-09,San Francisco,Office Supplies,30.46
2014-06-10,Detroit,Office Supplies,491.55
2014-06-13,Los Angeles,Office Supplies,14.52
2014-06-14,Detroit,Furniture,212.94
2014-06-15,El Paso,Office Supplies,36.544
2014-06-15,San Antonio,Furniture,897.862
2014-06-15,San Antonio,Office Supplies,8.568
2014-06-16,Hempstead,Office Supplies,115.952
2014-06-16,Mishawaka,Furniture,647.84
2014-06-17,Chicago,Office Supplies,62.016
2014-06-17,Newark,Technology,65.97
2014-06-17,Seattle,Furniture,6.24
2014-06-17,Seattle,Office Supplies,3284.2760000000003
2014-06-18,Los Angeles,Technology,139.8
2014-06-20,Lawton,Office Supplies,475.41999999999996
2014-06-20,Plano,Furniture,193.0656
2014-06-20,Plano,Office Supplies,540.08
2014-06-20,Plano,Technology,620.384
2014-06-21,Lakewood,Office Supplies,3.76
2014-06-21,Lakewood,Technology,1322.93
2014-06-21,Long Beach,Technology,1214.85
2014-06-21,Meriden,Office Supplies,21.4
2014-06-21,New York City,Office Supplies,79.35
2014-06-21,New York City,Technology,617.97
2014-06-21,Philadelphia,Furniture,3.984
2014-06-21,Philadelphia,Office Supplies,78.318
2014-06-21,Philadelphia,Technology,302.959
2014-06-21,Pueblo,Office Supplies,36.252
2014-06-21,Waynesboro,Furniture,104.01
2014-06-21,Waynesboro,Office Supplies,36.84
2014-06-21,Waynesboro,Technology,284.82
2014-06-22,Chester,Furniture,1023.9879999999999
2014-06-22,Chester,Technology,82.782
2014-06-22,Louisville,Technology,196.752
2014-06-22,Minneapolis,Office Supplies,663.75
2014-06-22,Phoenix,Office Supplies,8.226
2014-06-23,Concord,Office Supplies,23.119999999999997
2014-06-23,Philadelphia,Technology,86.376
2014-06-24,Tucson,Furniture,4.272
2014-06-25,Los Angeles,Furniture,447.84
2014-06-25,Salem,Office Supplies,80.96000000000001
2014-06-25,Salem,Technology,263.96
2014-06-27,Southaven,Furniture,85.98
2014-06-27,Southaven,Office Supplies,306.2
2014-06-27,Southaven,Technology,223.96
2014-06-28,Detroit,Office Supplies,6.08
2014-06-28,Philadelphia,Furniture,1228.465
2014-06-28,Philadelphia,Office Supplies,411.246
2014-06-29,Cincinnati,Office Supplies,32.76
2014-06-29,New York City,Office Supplies,13.92
2014-06-30,Chicago,Office Supplies,5.248
2014-06-30,Houston,Office Supplies,47.232
2014-06-30,Los Angeles,Office Supplies,32.4
2014-06-30,New York City,Office Supplies,344.056
2014-06-30,Wilmington,Office Supplies,310.688
2014-07-01,Deltona,Office Supplies,5.184
2014-07-01,Deltona,Technology,575.92
2014-07-01,Seattle,Office Supplies,19.92
2014-07-02,Plainfield,Office Supplies,5.58
2014-07-02,Plainfield,Technology,73.98
2014-07-04,Aurora,Office Supplies,209.96800000000002
2014-07-04,Richmond,Office Supplies,37.44
2014-07-05,Houston,Office Supplies,502.2
2014-07-05,Jackson,Office Supplies,34.06
2014-07-05,Jackson,Technology,479.97
2014-07-05,Knoxville,Office Supplies,4.368
2014-07-05,Los Angeles,Office Supplies,180.96
2014-07-05,Palm Coast,Furniture,232.73600000000002
2014-07-05,Palm Coast,Office Supplies,9.81
2014-07-06,El Cajon,Furniture,478.48
2014-07-06,New York City,Technology,559.992
2014-07-07,Philadelphia,Furniture,241.19400000000002
2014-07-08,Buffalo,Furniture,63.882
2014-07-08,San Francisco,Furniture,502.488
2014-07-08,San Francisco,Office Supplies,196.704
2014-07-09,Dallas,Office Supplies,24.72
2014-07-09,Los Angeles,Office Supplies,68.70400000000001
2014-07-09,San Francisco,Furniture,119.833
2014-07-09,San Francisco,Office Supplies,52.263999999999996
2014-07-11,El Paso,Office Supplies,10.368
2014-07-11,El Paso,Technology,575.968
2014-07-11,Hackensack,Furniture,979.0500000000001
2014-07-11,Hackensack,Office Supplies,191.6
2014-07-11,Hackensack,Technology,197.97
2014-07-11,New York City,Office Supplies,67.4
2014-07-11,Niagara Falls,Technology,164.85
2014-07-12,Chicago,Office Supplies,35.856
2014-07-12,Chicago,Technology,23.84
2014-07-12,League City,Furniture,512.358
2014-07-12,League City,Office Supplies,41.808
2014-07-12,Los Angeles,Office Supplies,249.75
2014-07-12,Los Angeles,Technology,255.936
2014-07-12,San Francisco,Furniture,698.352
2014-07-12,San Francisco,Office Supplies,7.712
2014-07-12,Seattle,Furniture,123.136
2014-07-12,Seattle,Office Supplies,11.264
2014-07-13,Los Angeles,Furniture,351.216
2014-07-14,Aurora,Office Supplies,29.932
2014-07-14,Aurora,Technology,38.272
2014-07-14,New York City,Office Supplies,17.94
2014-07-14,Newark,Office Supplies,39.48
2014-07-14,Philadelphia,Furniture,31.984
2014-07-14,Philadelphia,Office Supplies,41.584
2014-07-14,Philadelphia,Technology,37.482
2014-07-14,Phoenix,Office Supplies,55.92
2014-07-15,Sioux Falls,Office Supplies,6.54
2014-07-15,Sioux Falls,Technology,2.97
2014-07-18,New Rochelle,Office Supplies,13.904
2014-07-18,Tucson,Furniture,259.136
2014-07-19,Bristol,Furniture,70.56
2014-07-19,Bristol,Office Supplies,24.689999999999998
2014-07-19,Bristol,Technology,359.98
2014-07-19,Great Falls,Office Supplies,6.096
2014-07-20,Dallas,Furniture,998.112
2014-07-20,Dallas,Office Supplies,342.864
2014-07-20,Riverside,Office Supplies,560.49
2014-07-20,Riverside,Technology,41.94
2014-07-20,San Diego,Furniture,43.02
2014-07-20,San Diego,Office Supplies,133.474
2014-07-20,San Francisco,Office Supplies,112.542
2014-07-20,Springfield,Office Supplies,53.344
2014-07-21,Dallas,Furniture,657.93
2014-07-21,Dallas,Office Supplies,93.956
2014-07-21,Omaha,Technology,35.98
2014-07-21,San Francisco,Furniture,1074.416
2014-07-21,San Francisco,Office Supplies,99.2
2014-07-22,Houston,Office Supplies,26.632
2014-07-22,Los Angeles,Office Supplies,19.68
2014-07-22,New York City,Office Supplies,5.96
2014-07-22,New York City,Technology,159.98
2014-07-22,San Francisco,Furniture,888.072
2014-07-22,San Francisco,Office Supplies,248.02
2014-07-23,New York City,Technology,99.98
2014-07-23,San Francisco,Office Supplies,40.7
2014-07-23,San Francisco,Technology,952.1279999999999
2014-07-23,Tucson,Office Supplies,17.4
2014-07-23,Tucson,Technology,1502.976
2014-07-25,Los Angeles,Office Supplies,22.0
2014-07-25,San Francisco,Furniture,77.92
2014-07-25,San Francisco,Office Supplies,8241.369999999999
2014-07-26,Atlanta,Furniture,93.59
2014-07-26,Atlanta,Office Supplies,162.89
2014-07-26,Chicago,Office Supplies,123.552
2014-07-26,Draper,Technology,111.93
2014-07-26,North Las Vegas,Furniture,808.362
2014-07-26,North Las Vegas,Technology,1082.954
2014-07-26,San Antonio,Furniture,17.496
2014-07-26,San Antonio,Office Supplies,2208.084
2014-07-26,San Antonio,Technology,431.136
2014-07-27,Los Angeles,Office Supplies,276.28
2014-07-27,New York City,Office Supplies,65.78
2014-07-27,San Francisco,Technology,238.0
2014-07-28,Apopka,Furniture,129.888
2014-07-28,Apopka,Office Supplies,63.264
2014-07-30,Seattle,Furniture,1367.84
2014-08-01,Charlotte,Furniture,44.128
2014-08-01,Charlotte,Office Supplies,158.768
2014-08-01,Philadelphia,Office Supplies,5.68
2014-08-01,San Francisco,Office Supplies,19.752
2014-08-02,Springfield,Office Supplies,865.08
2014-08-02,Springfield,Technology,21.2
2014-08-03,Denver,Furniture,218.75
2014-08-03,Denver,Office Supplies,2.6
2014-08-03,Glendale,Office Supplies,93.024
2014-08-03,New York City,Office Supplies,163.62
2014-08-04,Bangor,Office Supplies,361.7
2014-08-04,Bangor,Technology,255.42
2014-08-04,Pleasant Grove,Office Supplies,1726.074
2014-08-04,Pleasant Grove,Technology,399.96
2014-08-05,Los Angeles,Furniture,340.144
2014-08-05,Los Angeles,Office Supplies,131.9
2014-08-05,Meriden,Furniture,1133.35
2014-08-05,Meriden,Office Supplies,84.03
2014-08-05,New York City,Office Supplies,15.96
2014-08-05,New York City,Technology,135.99
2014-08-05,San Francisco,Office Supplies,61.76
2014-08-05,San Francisco,Technology,16.36
2014-08-05,Texas City,Furniture,489.23
2014-08-06,Columbia,Technology,62.91
2014-08-06,New York City,Technology,199.98
2014-08-08,Glendale,Furniture,121.376
2014-08-08,Glendale,Technology,95.976
2014-08-08,Jacksonville,Furniture,155.456
2014-08-08,San Diego,Furniture,327.76
2014-08-08,San Diego,Office Supplies,76.12
2014-08-08,San Diego,Technology,1645.9360000000001
2014-08-08,Trenton,Furniture,53.88
2014-08-08,Trenton,Office Supplies,205.875
2014-08-08,Trenton,Technology,849.97
2014-08-08,Vacaville,Office Supplies,423.28
2014-08-09,Fresno,Office Supplies,5.98
2014-08-09,Phoenix,Office Supplies,13.809000000000001
2014-08-09,Saint Petersburg,Office Supplies,15.552
2014-08-09,Saint Petersburg,Technology,178.384
2014-08-09,San Diego,Office Supplies,20.88
2014-08-09,Seattle,Office Supplies,2060.744
2014-08-09,Seattle,Technology,1310.3359999999998
2014-08-11,New York City,Office Supplies,375.34
2014-08-11,Seattle,Furniture,12.35
2014-08-11,Seattle,Office Supplies,63.93
2014-08-12,Lakewood,Office Supplies,196.21
2014-08-12,Miami,Office Supplies,298.816
2014-08-12,Miami,Technology,158.928
2014-08-12,San Francisco,Furniture,85.44
2014-08-12,San Francisco,Technology,806.336
2014-08-12,Woodstock,Office Supplies,14.04
2014-08-12,Woodstock,Technology,272.61
2014-08-15,Dallas,Office Supplies,30.96
2014-08-15,Fairfield,Office Supplies,62.94
2014-08-15,Hollywood,Office Supplies,243.60000000000002
