Order Date,Sub-Category,Sales
2014-03-01,Fasteners,18.84
2014-03-01,Furnishings,63.552
2014-03-01,Paper,17.472
2014-03-01,Phones,5.94
2014-03-01,Storage,266.904
2014-03-01,Tables,376.509
2014-03-02,Accessories,151.2
2014-03-02,Envelopes,11.36
2014-03-02,Paper,39.824
2014-03-03,Appliances,176.772
2014-03-03,Art,19.456
2014-03-03,Binders,151.08
2014-03-03,Bookcases,302.45
2014-03-03,Labels,15.12
2014-03-03,Phones,9.99
2014-03-03,Storage,44.672
2014-03-03,Tables,626.352
2014-03-04,Art,15.552
2014-03-04,Storage,354.9
2014-03-05,Accessories,479.97
2014-03-05,Art,59.52
2014-03-05,Binders,49.632
2014-03-05,Paper,97.82
2014-03-05,Supplies,18.62
2014-03-07,Art,38.59
2014-03-07,Binders,107.648
2014-03-07,Chairs,966.9839999999999
2014-03-07,Storage,447.84000000000003
2014-03-10,Art,83.168
2014-03-10,Paper,22.38
2014-03-10,Storage,636.408
2014-03-11,Accessories,32.96
2014-03-11,Appliances,146.76
2014-03-11,Art,7.98
2014-03-11,Fasteners,10.464
2014-03-11,Furnishings,8.32
2014-03-11,Paper,123.86
2014-03-11,Phones,587.97
2014-03-14,Accessories,82.8
2014-03-14,Art,3.38
2014-03-14,Binders,95.136
2014-03-14,Chairs,1139.92
2014-03-14,Machines,574.91
2014-03-14,Paper,110.064
2014-03-14,Storage,102.34
2014-03-15,Binders,50.406000000000006
2014-03-15,Furnishings,45.696
2014-03-15,Paper,131.904
2014-03-15,Storage,142.776
2014-03-16,Phones,471.92
2014-03-17,Appliances,126.45
2014-03-17,Art,24.128
2014-03-17,Binders,131.15
2014-03-17,Paper,413.4
2014-03-17,Tables,3265.23
2014-03-18,Art,8.016
2014-03-18,Bookcases,1198.33
2014-03-18,Fasteners,18.936
2014-03-18,Furnishings,264.12
2014-03-18,Machines,24739.748
2014-03-18,Paper,21.376
2014-03-18,Storage,1856.19
2014-03-19,Accessories,170.24
2014-03-19,Binders,33.57
2014-03-19,Furnishings,25.008
2014-03-19,Labels,11.808
2014-03-19,Phones,323.976
2014-03-19,Storage,26.16
2014-03-21,Art,22.776
2014-03-21,Binders,122.94
2014-03-21,Chairs,218.376
2014-03-21,Furnishings,32.952
2014-03-21,Labels,73.60000000000001
2014-03-21,Paper,122.97
2014-03-21,Phones,3499.93
2014-03-21,Storage,16.272
2014-03-22,Art,16.28
2014-03-22,Binders,59.109
2014-03-22,Chairs,314.352
2014-03-22,Paper,74.352
2014-03-23,Labels,9.912
2014-03-23,Phones,604.752
2014-03-23,Storage,330.4
2014-03-24,Furnishings,40.48
2014-03-24,Paper,24.9
2014-03-25,Accessories,45.48
2014-03-25,Art,46.879999999999995
2014-03-25,Chairs,366.786
2014-03-26,Accessories,66.3
2014-03-26,Art,3.36
2014-03-26,Binders,27.936
2014-03-26,Labels,18.75
2014-03-26,Phones,28.784
2014-03-28,Envelopes,6.12
2014-03-28,Phones,302.376
2014-03-28,Tables,1515.308
2014-03-29,Tables,890.841
2014-03-30,Art,60.15
2014-03-30,Bookcases,205.666
2014-03-30,Chairs,127.302
2014-03-30,Envelopes,335.72
2014-03-30,Labels,44.4
2014-03-30,Phones,251.944
2014-03-30,Storage,145.14000000000001
2014-03-31,Accessories,79.984
2014-03-31,Appliances,52.98
2014-03-31,Art,4.032
2014-03-31,Binders,697.068
2014-03-31,Chairs,1125.488
2014-04-01,Binders,23.328000000000003
2014-04-01,Labels,29.6
2014-04-01,Storage,66.96
2014-04-02,Appliances,154.9
2014-04-02,Furnishings,177.68
2014-04-02,Paper,76.048
2014-04-02,Phones,1049.93
2014-04-03,Accessories,222.29
2014-04-03,Envelopes,11.16
2014-04-04,Accessories,99.98
2014-04-04,Art,79.36
2014-04-04,Binders,7.184
2014-04-04,Furnishings,5.47
2014-04-04,Labels,18.9
2014-04-04,Paper,32.400000000000006
2014-04-04,Storage,232.55
2014-04-05,Art,86.51
2014-04-05,Binders,155.56
2014-04-05,Paper,68.44
2014-04-05,Phones,28.99
2014-04-05,Storage,791.548
2014-04-05,Supplies,4164.05
2014-04-06,Accessories,450.654
2014-04-06,Art,70.95
2014-04-06,Binders,110.478
2014-04-06,Furnishings,125.07
2014-04-06,Paper,74.92
2014-04-06,Supplies,10.304
2014-04-06,Tables,808.314
2014-04-07,Furnishings,8.96
2014-04-07,Paper,181.29
2014-04-07,Phones,830.9200000000001
2014-04-08,Accessories,399.96
2014-04-08,Fasteners,52.160000000000004
2014-04-08,Paper,19.008
2014-04-08,Tables,1487.622
2014-04-11,Accessories,937.36
2014-04-11,Binders,9.584
2014-04-11,Fasteners,6.912
2014-04-11,Paper,10.368
2014-04-11,Phones,863.9359999999999
2014-04-11,Storage,87.08
2014-04-12,Art,39.68
2014-04-12,Binders,18.088
2014-04-12,Bookcases,308.499
2014-04-12,Paper,32.4
2014-04-12,Phones,1513.456
2014-04-13,Art,17.856
2014-04-13,Binders,509.97
2014-04-13,Fasteners,30.992
2014-04-13,Labels,7.83
2014-04-13,Phones,71.928
2014-04-15,Appliances,106.96
2014-04-15,Furnishings,187.76
2014-04-16,Art,39.072
2014-04-18,Accessories,227.976
2014-04-18,Art,26.558
2014-04-18,Chairs,317.058
2014-04-18,Envelopes,149.352
2014-04-18,Fasteners,11.62
2014-04-18,Machines,287.968
2014-04-19,Binders,58.05
2014-04-19,Furnishings,76.14
2014-04-19,Paper,71.28
2014-04-20,Furnishings,59.92
2014-04-20,Storage,44.84
2014-04-20,Tables,1145.69
2014-04-21,Binders,16.52
2014-04-21,Storage,828.84
2014-04-22,Binders,9.912
2014-04-22,Envelopes,247.84
2014-04-23,Binders,9.99
2014-04-23,Chairs,562.744
2014-04-23,Furnishings,22.336
2014-04-23,Paper,48.91
2014-04-25,Appliances,270.72
2014-04-25,Art,6.24
2014-04-25,Chairs,1487.04
2014-04-25,Furnishings,303.25
2014-04-25,Paper,10.368
2014-04-25,Phones,302.376
2014-04-26,Art,21.4
2014-04-26,Binders,18.288
2014-04-26,Chairs,230.28
2014-04-26,Labels,12.6
2014-04-28,Accessories,159.98
2014-04-28,Art,5.34
2014-04-28,Binders,20.86
2014-04-28,Labels,10.062
2014-04-28,Phones,1679.96
2014-04-28,Storage,702.274
2014-04-29,Binders,17.94
2014-04-29,Chairs,613.544
2014-04-29,Furnishings,17.46
2014-04-29,Phones,19.98
2014-04-29,Storage,99.92
2014-04-30,Accessories,47.79
2014-04-30,Art,174.95
2014-04-30,Storage,826.0
2014-05-02,Appliances,26.136
2014-05-02,Copiers,479.984
2014-05-03,Binders,51.072
2014-05-03,Labels,21.56
2014-05-04,Appliances,57.68
2014-05-04,Art,37.84
2014-05-04,Binders,46.8
2014-05-04,Fasteners,5.472
2014-05-04,Furnishings,39.64
2014-05-05,Art,6.56
2014-05-05,Binders,11.88
2014-05-05,Chairs,127.869
2014-05-05,Paper,69.41999999999999
2014-05-05,Storage,45.248
2014-05-06,Art,107.94
2014-05-06,Binders,140.736
2014-05-06,Labels,5.78
2014-05-07,Art,8.64
2014-05-07,Binders,16.14
2014-05-07,Chairs,872.32
2014-05-07,Tables,194.25
2014-05-08,Copiers,1799.97
2014-05-09,Accessories,235.76999999999998
2014-05-09,Labels,30.099999999999998
2014-05-09,Paper,45.36
2014-05-09,Storage,83.25
2014-05-10,Art,22.32
2014-05-10,Bookcases,349.965
2014-05-10,Chairs,256.784
2014-05-10,Envelopes,158.13
2014-05-10,Paper,39.96
2014-05-10,Phones,1475.6
2014-05-10,Supplies,41.04
2014-05-11,Accessories,104.976
2014-05-11,Appliances,35.91
2014-05-11,Binders,104.58
2014-05-11,Chairs,1212.96
2014-05-11,Furnishings,66.112
2014-05-11,Paper,17.472
2014-05-11,Phones,100.792
2014-05-12,Furnishings,34.79
2014-05-12,Tables,700.056
2014-05-13,Accessories,149.97
2014-05-13,Binders,398.352
2014-05-13,Chairs,279.456
2014-05-13,Fasteners,7.104
2014-05-13,Paper,8.0
2014-05-13,Storage,55.5
2014-05-14,Furnishings,310.88
2014-05-16,Accessories,56.4
2014-05-16,Chairs,232.88
2014-05-17,Binders,91.68
2014-05-18,Furnishings,149.232
2014-05-18,Paper,19.92
2014-05-18,Phones,779.796
2014-05-19,Binders,57.42
2014-05-19,Supplies,34.2
2014-05-20,Accessories,20.784
2014-05-20,Appliances,33.28
2014-05-20,Art,38.52
2014-05-20,Furnishings,150.192
2014-05-20,Paper,10.368
2014-05-20,Storage,66.96
2014-05-21,Appliances,245.88
2014-05-21,Art,31.84
2014-05-21,Binders,3182.0299999999997
2014-05-21,Chairs,107.772
2014-05-21,Envelopes,56.064
2014-05-21,Paper,22.772000000000002
2014-05-21,Phones,617.97
2014-05-22,Phones,180.93
2014-05-23,Appliances,208.16
2014-05-23,Art,21.168
2014-05-23,Binders,21.242
2014-05-23,Paper,12.96
2014-05-23,Phones,55.188
2014-05-23,Supplies,5.04
2014-05-24,Paper,116.28
2014-05-25,Appliances,75.6
2014-05-25,Furnishings,29.32
2014-05-25,Paper,14.62
2014-05-26,Art,13.392
2014-05-26,Bookcases,290.666
2014-05-26,Chairs,585.068
2014-05-26,Paper,48.4
2014-05-26,Phones,285.568
2014-05-26,Storage,102.624
2014-05-27,Accessories,99.99
2014-05-27,Binders,17.46
2014-05-27,Phones,1113.504
2014-05-27,Storage,359.32
2014-05-27,Tables,567.12
2014-05-28,Accessories,27.6
2014-05-28,Binders,136.96
2014-05-28,Phones,57.408
2014-05-30,Appliances,235.95
2014-05-30,Binders,95.952
2014-05-30,Copiers,719.976
2014-05-30,Paper,53.58
2014-05-30,Phones,464.0
2014-05-30,Tables,355.455
2014-05-31,Phones,773.7
2014-06-01,Appliances,1568.77
2014-06-01,Art,289.2
2014-06-01,Binders,184.04
2014-06-01,Chairs,2001.86
2014-06-01,Furnishings,22.2
2014-06-01,Paper,73.80000000000001
2014-06-01,Phones,881.93
2014-06-01,Storage,166.72
2014-06-02,Art,8.56
2014-06-02,Binders,59.808
2014-06-02,Furnishings,73.32
2014-06-02,Phones,239.97
2014-06-02,Storage,356.94
2014-06-03,Envelopes,15.28
2014-06-03,Furnishings,61.544
2014-06-03,Labels,15.936
2014-06-03,Storage,132.696
2014-06-03,Tables,515.88
2014-06-04,Appliances,15.56
2014-06-04,Bookcases,353.568
2014-06-04,Furnishings,70.92
2014-06-04,Paper,16.224
2014-06-06,Art,13.36
2014-06-06,Binders,175.497
2014-06-06,Envelopes,13.984
2014-06-06,Labels,100.24
2014-06-06,Paper,62.016
2014-06-06,Supplies,17.14
2014-06-06,Tables,991.764
2014-06-07,Binders,12.462
2014-06-07,Tables,268.935
2014-06-08,Binders,68.48
2014-06-08,Chairs,755.904
2014-06-08,Storage,1676.88
2014-06-09,Accessories,63.984
2014-06-09,Appliances,114.9
2014-06-09,Art,118.80799999999999
2014-06-09,Binders,18.504
2014-06-09,Furnishings,86.25999999999999
2014-06-09,Paper,79.14
2014-06-09,Phones,1826.568
2014-06-09,Supplies,7.36
2014-06-09,Tables,3147.484
2014-06-10,Labels,491.55
2014-06-13,Art,14.52
2014-06-14,Bookcases,212.94
2014-06-15,Binders,8.568
2014-06-15,Chairs,797.944
2014-06-15,Paper,36.544
2014-06-15,Tables,99.918
2014-06-16,Art,35.0
2014-06-16,Binders,39.552
2014-06-16,Chairs,647.84
2014-06-16,Envelopes,41.4
2014-06-17,Binders,3266.376
2014-06-17,Fasteners,17.9
2014-06-17,Furnishings,6.24
2014-06-17,Machines,65.97
2014-06-17,Paper,62.016
2014-06-18,Phones,139.8
2014-06-20,Appliances,471.9
2014-06-20,Art,3.52
2014-06-20,Binders,3.392
2014-06-20,Bookcases,193.0656
2014-06-20,Machines,418.8
2014-06-20,Paper,27.2
2014-06-20,Phones,201.584
2014-06-20,Storage,509.488
2014-06-21,Accessories,95.968
2014-06-21,Appliances,104.116
2014-06-21,Art,25.159999999999997
2014-06-21,Binders,45.258
2014-06-21,Envelopes,24.896
2014-06-21,Furnishings,107.994
2014-06-21,Machines,206.991
2014-06-21,Paper,19.65
2014-06-21,Phones,3440.5699999999997
2014-06-21,Storage,36.84
2014-06-22,Accessories,196.752
2014-06-22,Binders,8.226
2014-06-22,Chairs,1023.9879999999999
2014-06-22,Phones,82.782
2014-06-22,Storage,663.75
2014-06-23,Accessories,86.376
2014-06-23,Art,20.016
2014-06-23,Supplies,3.104
2014-06-24,Furnishings,4.272
2014-06-25,Art,80.96000000000001
2014-06-25,Phones,263.96
2014-06-25,Tables,447.84
2014-06-27,Accessories,223.96
2014-06-27,Storage,306.2
2014-06-27,Tables,85.98
2014-06-28,Binders,34.254
2014-06-28,Chairs,1228.465
2014-06-28,Fasteners,6.08
2014-06-28,Paper,376.99199999999996
2014-06-29,Art,32.76
2014-06-29,Binders,13.92
2014-06-30,Art,44.248
2014-06-30,Binders,337.45599999999996
2014-06-30,Fasteners,21.312
2014-06-30,Paper,336.608
2014-07-01,Binders,25.104000000000003
2014-07-01,Phones,575.92
2014-07-02,Art,5.58
2014-07-02,Phones,73.98
2014-07-04,Appliances,32.432
2014-07-04,Binders,15.6
2014-07-04,Paper,199.376
2014-07-05,Accessories,479.97
2014-07-05,Art,4.368
2014-07-05,Binders,190.77
2014-07-05,Furnishings,232.73600000000002
2014-07-05,Labels,14.62
2014-07-05,Paper,19.44
2014-07-05,Storage,502.2
2014-07-06,Chairs,478.48
2014-07-06,Copiers,559.992
2014-07-07,Chairs,172.186
2014-07-07,Furnishings,69.008
2014-07-08,Binders,196.704
2014-07-08,Chairs,63.882
2014-07-08,Tables,502.488
2014-07-09,Art,5.56
2014-07-09,Binders,56.208000000000006
2014-07-09,Bookcases,119.833
2014-07-09,Labels,2.88
2014-07-09,Paper,57.12
2014-07-09,Storage,23.92
2014-07-11,Binders,18.28
2014-07-11,Chairs,854.94
2014-07-11,Furnishings,124.11
2014-07-11,Labels,14.4
2014-07-11,Paper,236.688
2014-07-11,Phones,938.788
2014-07-12,Accessories,23.84
2014-07-12,Art,22.288
2014-07-12,Binders,18.976
2014-07-12,Chairs,635.4939999999999
2014-07-12,Fasteners,3.488
2014-07-12,Paper,51.888000000000005
2014-07-12,Phones,255.936
2014-07-12,Storage,249.75
2014-07-12,Tables,698.352
2014-07-13,Tables,351.216
2014-07-14,Appliances,39.48
2014-07-14,Art,59.524
2014-07-14,Binders,29.932
2014-07-14,Furnishings,31.984
2014-07-14,Phones,75.75399999999999
2014-07-14,Storage,55.92
2014-07-15,Accessories,2.97
2014-07-15,Fasteners,6.54
2014-07-18,Binders,13.904
2014-07-18,Chairs,259.136
2014-07-19,Binders,30.786
2014-07-19,Phones,359.98
2014-07-19,Tables,70.56
2014-07-20,Accessories,41.94
2014-07-20,Art,13.12
2014-07-20,Binders,125.77600000000001
2014-07-20,Chairs,981.372
2014-07-20,Furnishings,59.760000000000005
2014-07-20,Paper,159.56
2014-07-20,Storage,904.2579999999999
2014-07-21,Appliances,4.992
2014-07-21,Art,99.2
2014-07-21,Binders,1.044
2014-07-21,Chairs,1459.498
2014-07-21,Envelopes,87.92
2014-07-21,Phones,35.98
2014-07-21,Tables,272.848
2014-07-22,Accessories,159.98
2014-07-22,Art,37.16
2014-07-22,Chairs,717.72
2014-07-22,Storage,263.132
2014-07-22,Tables,170.352
2014-07-23,Accessories,1647.9560000000001
2014-07-23,Art,9.24
2014-07-23,Binders,8.16
2014-07-23,Phones,907.1279999999999
2014-07-23,Supplies,40.7
2014-07-25,Furnishings,77.92
2014-07-25,Paper,6.48
2014-07-25,Storage,53.72
2014-07-25,Supplies,8203.17
2014-07-26,Accessories,714.0360000000001
2014-07-26,Appliances,4.836
2014-07-26,Binders,2203.248
2014-07-26,Chairs,742.232
2014-07-26,Furnishings,177.21599999999998
2014-07-26,Labels,162.89
2014-07-26,Phones,911.984
2014-07-26,Storage,123.552
2014-07-27,Accessories,238.0
2014-07-27,Paper,65.78
2014-07-27,Storage,276.28
2014-07-28,Envelopes,48.944
2014-07-28,Fasteners,14.32
2014-07-28,Furnishings,129.888
2014-07-30,Bookcases,1367.84
2014-08-01,Appliances,62.92
2014-08-01,Binders,19.752
2014-08-01,Fasteners,5.68
2014-08-01,Furnishings,44.128
2014-08-01,Labels,17.544
2014-08-01,Paper,78.304
2014-08-02,Accessories,21.2
2014-08-02,Binders,26.7
2014-08-02,Storage,838.38
2014-08-03,Appliances,2.6
2014-08-03,Paper,132.984
2014-08-03,Storage,21.36
2014-08-03,Supplies,102.3
2014-08-03,Tables,218.75
2014-08-04,Accessories,255.42
2014-08-04,Appliances,1191.71
2014-08-04,Art,16.4
2014-08-04,Binders,13.184
2014-08-04,Paper,707.5799999999999
2014-08-04,Phones,399.96
2014-08-04,Storage,158.9
2014-08-05,Accessories,16.36
2014-08-05,Appliances,79.47
2014-08-05,Art,66.5
2014-08-05,Chairs,1473.494
2014-08-05,Paper,131.9
2014-08-05,Phones,135.99
2014-08-05,Storage,15.78
2014-08-05,Tables,489.23
2014-08-06,Accessories,262.89
2014-08-08,Accessories,95.976
2014-08-08,Appliances,243.655
2014-08-08,Bookcases,155.456
2014-08-08,Copiers,1749.9660000000001
2014-08-08,Envelopes,38.34
2014-08-08,Furnishings,503.016
2014-08-08,Phones,745.94
2014-08-08,Storage,423.28
2014-08-09,Binders,2070.089
2014-08-09,Fasteners,4.464
2014-08-09,Labels,20.88
2014-08-09,Paper,21.532
2014-08-09,Phones,1488.7199999999998
2014-08-11,Art,40.97
2014-08-11,Fasteners,22.96
2014-08-11,Furnishings,12.35
2014-08-11,Storage,375.34
2014-08-12,Accessories,431.538
2014-08-12,Appliances,211.248
2014-08-12,Art,47.96
2014-08-12,Binders,210.25
2014-08-12,Furnishings,85.44
2014-08-12,Labels,2.952
2014-08-12,Paper,31.104
2014-08-12,Phones,806.336
2014-08-12,Supplies,5.552
2014-08-15,Appliances,305.15
2014-08-15,Binders,158.196
2014-08-15,Chairs,195.136
2014-08-15,Paper,184.3
2014-08-16,Tables,853.092
2014-08-17,Accessories,339.96
2014-08-17,Binders,17.96
2014-08-17,Fasteners,12.67
2014-08-17,Paper,129.752
2014-08-19,Art,10.72
2014-08-19,Binders,146.232
2014-08-19,Bookcases,638.82
2014-08-19,Furnishings,289.24
2014-08-19,Storage,344.91
2014-08-19,Supplies,9.184
2014-08-20,Binders,896.99
2014-08-20,Chairs,921.6120000000001
2014-08-20,Paper,20.12
2014-08-22,Art,3.912
2014-08-22,Paper,11.56
2014-08-22,Supplies,7.632
2014-08-23,Binders,49.568
2014-08-23,Furnishings,4.224
2014-08-23,Paper,360.992
2014-08-23,Phones,143.64
2014-08-23,Supplies,6.8
2014-08-24,Binders,20.96
2014-08-24,Furnishings,13.28
2014-08-24,Supplies,25.5
2014-08-25,Accessories,95.1
2014-08-25,Binders,68.31
2014-08-25,Envelopes,135.184
2014-08-25,Fasteners,40.096
2014-08-25,Furnishings,6.28
2014-08-25,Paper,49.896
2014-08-25,Phones,1007.944
2014-08-25,Storage,48.84
2014-08-26,Accessories,326.77
2014-08-26,Art,8.64
2014-08-26,Furnishings,10.68
2014-08-26,Paper,20.72
2014-08-27,Art,8.56
2014-08-27,Binders,22.72
2014-08-27,Furnishings,29.12
2014-08-27,Paper,13.36
2014-08-27,Phones,793.4300000000001
2014-08-27,Tables,1202.94
2014-08-29,Binders,505.176
2014-08-29,Envelopes,29.808
2014-08-29,Paper,123.28
2014-08-29,Tables,174.0585
2014-08-30,Binders,25.3
2014-08-30,Storage,95.94
2014-08-31,Accessories,92.52
2014-09-01,Accessories,357.0
2014-09-01,Art,53.94
2014-09-01,Binders,27.392
2014-09-01,Paper,31.104
2014-09-02,Accessories,715.9200000000001
2014-09-02,Appliances,19.9
2014-09-02,Art,78.99
2014-09-02,Binders,1793.98
2014-09-02,Furnishings,70.71
2014-09-02,Machines,559.71
2014-09-02,Paper,14.94
2014-09-03,Binders,7.68
2014-09-03,Labels,14.4
2014-09-05,Furnishings,31.984
2014-09-05,Storage,264.32
2014-09-06,Furnishings,41.88
2014-09-06,Labels,58.48
2014-09-07,Accessories,46.688
2014-09-07,Art,21.864
2014-09-07,Binders,470.528
2014-09-07,Chairs,161.96
2014-09-07,Fasteners,13.16
2014-09-07,Furnishings,921.938
2014-09-07,Machines,399.54
2014-09-07,Paper,33.519999999999996
2014-09-07,Phones,711.9780000000001
2014-09-07,Storage,84.644
2014-09-07,Supplies,27.36
2014-09-07,Tables,630.6949999999999
2014-09-08,Accessories,166.82999999999998
2014-09-08,Appliances,251.41
2014-09-08,Art,355.23999999999995
2014-09-08,Binders,59.792
2014-09-08,Chairs,3855.444
2014-09-08,Fasteners,49.019999999999996
2014-09-08,Machines,8369.922
2014-09-08,Paper,200.016
2014-09-08,Phones,143.976
2014-09-08,Storage,776.778
2014-09-09,Accessories,64.704
2014-09-09,Art,30.816
2014-09-09,Chairs,785.88
2014-09-09,Furnishings,78.144
2014-09-09,Labels,103.6
2014-09-09,Machines,1299.99
2014-09-09,Paper,219.088
2014-09-09,Phones,135.516
2014-09-09,Storage,1325.85
2014-09-10,Appliances,81.92
2014-09-10,Binders,9.64
2014-09-10,Chairs,1487.04
2014-09-10,Envelopes,21.728
2014-09-10,Furnishings,254.9
2014-09-11,Furnishings,127.95
2014-09-12,Accessories,72.616
2014-09-12,Appliances,166.84
2014-09-12,Binders,401.06399999999996
2014-09-12,Chairs,3785.292
2014-09-12,Furnishings,40.56
2014-09-12,Machines,69.99
2014-09-12,Paper,10.368
2014-09-12,Supplies,357.93
2014-09-13,Accessories,714.94
2014-09-13,Appliances,22.66
2014-09-13,Art,5.46
2014-09-13,Binders,21.15
2014-09-13,Chairs,340.116
2014-09-13,Fasteners,5.7
2014-09-13,Furnishings,14.19
2014-09-13,Paper,64.49199999999999
2014-09-13,Storage,79.4
2014-09-13,Supplies,7.3
2014-09-14,Appliances,666.7479999999999
2014-09-14,Binders,15.712
2014-09-14,Envelopes,79.53
2014-09-14,Fasteners,6.048
2014-09-14,Furnishings,165.488
2014-09-14,Labels,20.16
2014-09-14,Machines,2799.96
2014-09-14,Paper,51.668
2014-09-14,Phones,304.96000000000004
2014-09-14,Storage,449.15
2014-09-14,Tables,464.292
2014-09-15,Furnishings,118.49600000000001
2014-09-15,Paper,14.94
2014-09-16,Binders,33.552
2014-09-17,Accessories,103.904
2014-09-17,Art,43.504
2014-09-17,Binders,143.132
2014-09-17,Envelopes,182.94
2014-09-17,Furnishings,35.34
2014-09-17,Machines,29.925
2014-09-17,Paper,193.568
2014-09-17,Storage,88.21000000000001
2014-09-19,Chairs,887.103
2014-09-19,Fasteners,12.83
2014-09-19,Machines,8204.925
2014-09-19,Storage,159.86399999999998
2014-09-19,Tables,73.915
2014-09-20,Accessories,59.98
2014-09-20,Appliances,74.9
2014-09-20,Art,2.816
2014-09-20,Binders,20.232
2014-09-20,Bookcases,1657.938
2014-09-20,Chairs,631.782
2014-09-20,Furnishings,164.22
2014-09-20,Labels,85.14000000000001
2014-09-20,Paper,30.28
2014-09-20,Phones,1990.98
2014-09-20,Tables,617.7
2014-09-21,Appliances,62.230000000000004
2014-09-21,Art,125.55000000000001
2014-09-21,Binders,6.57
2014-09-21,Copiers,1799.97
2014-09-21,Envelopes,93.91
2014-09-21,Furnishings,8.544
2014-09-21,Labels,20.808
2014-09-21,Paper,75.70200000000001
2014-09-21,Phones,486.368
2014-09-22,Art,13.04
2014-09-22,Binders,3.984
2014-09-22,Chairs,579.528
2014-09-22,Furnishings,97.44
2014-09-22,Labels,4.608
2014-09-22,Storage,541.6659999999999
2014-09-23,Art,9.84
2014-09-23,Binders,9666.414
2014-09-23,Bookcases,435.999
2014-09-23,Paper,61.2
2014-09-23,Phones,83.984
2014-09-23,Storage,404.9
2014-09-24,Storage,211.96
2014-09-25,Art,14.576
2014-09-25,Binders,2.724
2014-09-25,Bookcases,300.5328
2014-09-25,Envelopes,3.264
2014-09-25,Paper,33.792
2014-09-26,Accessories,156.976
2014-09-26,Appliances,202.03199999999998
2014-09-26,Binders,6.846
2014-09-26,Chairs,731.12
2014-09-26,Furnishings,21.184
2014-09-26,Paper,52.336
2014-09-26,Storage,310.12
2014-09-27,Chairs,603.92
2014-09-27,Furnishings,87.54
2014-09-27,Paper,81.98
2014-09-28,Furnishings,337.088
2014-09-28,Paper,106.944
2014-09-28,Storage,46.26
2014-09-29,Art,4.224
2014-09-29,Binders,10.048
2014-09-29,Fasteners,8.72
2014-09-29,Furnishings,328.12
2014-09-29,Labels,74.34
2014-09-29,Machines,686.32
